hux2021_items_as_used;;;;;;;;;;;
ITEM_#;EM;SM;LC;ISM;LISA;V;ST.;ST;used;itemchars;itemchars_used
1;Nach Martas Meinung war ihre Depression eine Kröte,| die schmierig auf deinem Kopf hocken konnte,| bis sie endlich doch noch herunterrutschte .| Die Traurigkeit aber, in  der sie die letzten zehn Tage verbracht hatte,| war eine andere.| Hektisch und aggressiv.| Mit scharfen Krallen.| Sie hatte nicht auf Marta gesessen,| sondern sie richtig überfallen.;Marta wußte, was Depression war.| Oft hatte sie schlechte Zeiten,| da sie nichts tun wollte und Probleme hatte,| aus dem Bett zu kommen.| Die Traurigkeit der letzten zehn Tage jedoch war sehr anders.| Hatte scharfe Krallen.| Es war klar,| daß Martha sich diesmal professionelle Hilfe suchen müßte.;Marta bereute, die streunende Katze nach Hause mitgebracht zu haben,| die sie im Park gefunden hatte.| In den letzten zwei Tagen| hatte diese die Vorhänge des Wohnzimmers| und die vier Beine des Küchentischs zerstört.| Sie hatte scharfe Krallen.| Martha befürchtete,| es würde nicht gelingen,| eine Katze dieses Alters bei sich aufzunehmen. ;;"X/?
Würde keine direkten Ansprachen ""deine"" benutzen.

EM: Nach Marthas Meinung war ihre Depression eine Kröte, die schmierig auf ihrem Kopf hocken konnte, bis sie endlich herunterrutschte (finde es irgendwie schwierig, wenn die Kröte/Depression selbst mit Energielosigkeit assoziiert wird. Denn die Depression könnte man ja auch eher als etwas sehr Kräftiges verstehen und Martha ist diejenige, die keine Energie hat). ...

SM: anstatt ""nichts tun wollte"" lieber ""keine Lust auf irgendwelche Unternehmungen und Probleme..."" Weil für mich klingt ""nichts tun wollen"" auch ein bisschen nach ""sie wollte an ihrer Krankheit nichts tun"".

LC: Ist eine Feinheit, aber ich würde schreiben, ""Martha befürchtete, es würde nicht mehr gelingen, eine Katze dieses Alters bei sich aufzunehmen."" ";x          Anmerkungen: EM:…schmierig auf dem Kopf hocken konnte.                SM:Sie hatte scharfe Krallen.                LC: Martha bereute es, die …mit nach Hause genommen zu haben,...;x;"FILLER      (wegen target expression für EM; Krallen und Kröte) ";F1;353;0
2;Johns Ehrgeiz im Büro war ein Rennwagen.| Er nutzte jede Gelegenheit, die sich ihm bot,| um seine RivalInnen zu überholen und seine TeamkollegInnen herauszufordern.| Auf der Rennstrecke kämpfte er Runde um Runde,| bis von der Tribüne stehende Ovationen kamen.| Johns Chef lobte ihn für seine Siege,| aber insgeheim fragte er sich,| ob John je die Ziellinie erreichen würde.;John war im Büro grenzenlos ehrgeizig.| Alles, was er bei der Arbeit tat,| war Teil einer Strategie,| um eine weitere Beförderung zu bekommen.| Er war sehr wettbewerbsorientiert| und erwartete immer,| dass von der Tribüne stehende Ovationen kamen.| Sein Chef war mit Johns Arbeit zufrieden,| aber seine Kollegen waren seinen Ehrgeiz leid.;Johns Traum war es, Formel-1-Fahrer zu werden.| Er war fest entschlossen, hart dafür zu arbeiten| bis zu jenem Tag, an dem er endlich um die Formel-1-Rennstrecke rasen würde,| bis von der Tribüne stehende Ovationen kamen.| Aber im Moment ging es nur darum,| hart für seinen Traum zu arbeiten.;John fuhr das Formel-1-Rennen wie ein geölter Blitz. Er ritt förmlich auf  Lichtwellen durch die Kurven. Seine Hände waren schon Wackelpudding, aber er schaffte es dennoch, seinen Gaul richtig zu steuern. Kurz vor dem Ziel wurde er zur kleinen Maus. Er wurde von seinen Dämonen eingeholt, die ihm sagten, er hätte solange keinen Triumph verdient, bis von der Tribüne stehende Ovationen kämen. Als diese dann kamen, wurden sie zu Johns Elixier, nahmen ihm die Zweifel und katapultierten ihn ins Ziel.;"X
ISM: Im ersten Satz muss explizit gesagt werden, dass John in einer Firma arbeitet oder so. Sonst ist nicht klar genug, dass er NICHT Rennfahrer ist.

LC: bis zu jenem Tag, an dem er endlich auf der Formel-1-Rennstrecke rasen und stehende Ovationen von der Tribüne bekommen würde. Bis es soweit war, ging es nur darum...";x                            SM: ...dass von der…                                 LC: …rasen würde und von der Tribüne…                  Eventuell Ovationen durch Applaus ersetzen ;x / applaus wäre dann keine so grosze metapher mehr wie stehende ovationen, das ist zu wenig wirksam / die dasz mit sz werden alle noch ersetzt...;ITEM;item;373;373
3;Helen sprach mit dem beruhigenden Tonfall einer erfahrenen Heilerin.| Wenn sie in der richtigen Stimmung war,| hatten ihre Worte eine weiche Schärfe,| die auf magische Weise von allen Beschwerden heilen konnte,| ganz ohne Medizin.| Wenn sie aber der Meinung war,| dass ihr Zuhörer eine Behandlung nötig hatte,| setzte sie ihr Skalpell nah an dessen Herzen an,| so dass er von der langen Klinge eines ‚Warum‘| oder der unheilbaren Stille eines Punktes verwundet würde.;Helen war sehr wortgewandt.| Sie erklärte immer alles klar und ausführlich genug,| um es interessant zu machen.| Wenn man Hilfe brauchte,| konnte sie einem mit wenigen Worten die Perspektive wiedergeben.| Aber ihre Worte konnten auch sehr durchdringend sein.| Dann setzt sie ihr Skalpell nahe an deinem Herzen an| und ihre Worte lassen dich noch tagelang den Schmerz spüren.;Helen hatte acht Jahre an der medizinischen Fakultät verbracht| und weitere vier Jahre mit der Ausbildung zur Herzchirurgin,| bevor sie ihren ersten Job bekam.| Trotz dieser langen Zeit hat sie ihre Entscheidungen nie in Frage gestellt.| Schon als Kind wollte sie Ärztin werden.| Am stärksten fühlte Helen sich immer zu Beginn einer Operation,| wenn sie ihr Skalpell nahe am Herzen ansetzte,| das Leben ihrer PatientInnen in ihren Händen.;;"Filler
Finde die Metaphern auch zu merkwürdig. Die können verwirren/triggern. Gerade auch, weil es eine komische Nähe zwischen Heilung und Gefahr/Tod gibt. ";x                            EM:…Beschwerden heilen konnten, ganz…                             SM: ..mit wenigen Worten die Perspektive wiedergeben.-> iregndwie klingt dieser Satz komisch, denke man müsste hier Perspektive gegen ein anderes Wort ersetzen;x / :konnte: ist richtig, es bezieht sich auf die schärfe, nicht auf die worte, also singular / das ist dich eine übersetzung, also vielleicht sollten wir bei 1-6 nochmal jeder in das original der anderen reinschauen, was am ende passender ist.;FILLER (finde da auch die Anmerkung von Ivan nachvollziehbar. Ich empfinde die Metaphern sehr seltsam, gerade die EM.);F3;467;0
4;"Wenn Ginas Büroangestellte kooperativ waren,| konnten sie großartige Dinge zusammen erreichen.| Sie waren ein Chor in perfekter Harmonie;| die zarten Töne des Soprans| fügten sich perfekt ein in das mächtige Donnern der Bässe.| Nach der Performance musste Gina lediglich| die Blumensträuße aufheben, die man auf die Bühne geworfen hatte.| Wenn sie jedoch unkooperativ waren,| war die sich ergebende Kakophonie ein Angriff auf die Sinne.";"Wenn Ginas Angestellte kooperativ waren,| konnten sie großartige Dinge zusammen erreichen.| Sie ergänzten einander auf wunderbare Weise;| die Vorstellungen der kreativen Denker| verwirklicht durch die Mühen der fleißigen Arbeiter.| In diesem Fall musste Gina lediglich| die Bouquets aufheben, die man auf die Bühne geworfen hatte.| Wenn sie jedoch unkooperativ waren,| dann versank die Firma rasch im Chaos.";Ginas Job bei der Opernfirma konnte schwierig sein.| Sie war dafür verantwortlich sicherzustellen,| dass die Aufführungen glatt liefen,| was keine leichte Aufgabe war,| wenn die Sänger gerade auf einem Egotrip waren.| Wenn die Sache aber gut lief, hatte Gina lediglich| die Bouquets aufzusammeln, die man auf die Bühne geworfen hatte.| Zu anderen Zeiten verbrachte sie Stunden damit,| aufgebrachte Darsteller zu besänftigen.;Ginas Job als Opernregisseurin war ein Wellenritt.| War sie mit ihren Team im richtigen Drive,| liefen Produktionen wie von selbst.| Selbst aufgebrachte Sänger| konnte sie mit lockeren Moves verzaubern und beruhigen.| So musste sie nach der Aufführung| nur noch die Blumen aufsammeln, die die Zuschauer auf die Bühne geworfen hatten.| Zu anderen Zeiten| hatte sie dafür mit dämonischen Endgegnern zu kämpfen.;"X
EM: Wie bei John: Klar machen, dass es Angestellte in einer FIRMA sind o.ä., denn man kann auch in einer Oper angestellt sein.
  
LC: nicht ""man"", sondern ZuschauerInnen

MM: Auch aufgebrachte SängerInnen…
die Wörter ""Drive"" und ""Moves"" stören mihc irgendwie.

Warum genau ist es ein Problem, dass auch die Bouquets ein symbolischer Akt sind?";x                                Bouquets eventuell eher durch Sträuße ersetzen                    SM: DenkerInnen …ArbeiterInnen..    LC: ..wenn die SängerInnen…         ..aufgebrachte DarstellerInnen... ISM: War sie mit ihrem...      aufgebrachte SängerInnnen              ..., die die ZuschauerInnen...       dämonischen Endgegnern (auch gendern?)     ;filler;"FILLER (finde die Blumenmetapher ungünstig, weil auch Symbol etc.; würde ich daher lieber für einen Filler nehmen)";F4;436;0
-9;"War die Resonanz zwischen Gina und ihre Büroangestellten gut, konnten sie großartige Dinge zusammen erreichen. Sie waren ein Chor in perfekter Harmonie; die zarten Töne des Soprans fügten sich perfekt ein in das mächtige Donnern der Bässe. Nach der Performance musste Gina lediglich die Blumen aufsammeln, die man auf die Bühne geworfen hatte. Wenn sie jedoch unkooperative waren, dann griff die daraus resultierende Kakophonie die Sinne an.";"Wenn Ginas Angestellte kooperativ waren,| konnten sie großartige Dinge zusammen erreichen.| Sie ergänzten einander auf wunderbare Weise;| die Vorstellungen der kreativen Denker wurden verwirklicht| durch die Mühen der fleißigen Arbeiter.| Zu solchen Anlässen musste Gina lediglich| die Blumen aufsammeln, die man auf die Bühne geworfen hatte.| Wenn sie jedoch unkooperativ waren,| dann versank die Firma rasch im Chaos.";Ginas Job an der Oper konnte schwierig sein. Sie war dafür verantwortlich sicherzugehen, dass die Performances glatt liefen, was keine leichte Aufgabe war, wenn die Sänger am egoistischsten waren. Wenn die Sache gut gelaufen war, musste Gina lediglich die Blumen aufsammeln, die man auf die Bühne geworfen hatte. Zu anderen Zeiten verbrachte sie Stunden damit, die aufgebrachten Darsteller zu besänftigen.;Ginas Job als Opernregisseurin war ein Wellenritt.| War sie mit ihren Team im richtigen Drive,| liefen Produktionen wie von selbst.| Selbst aufgebrachte Sänger| konnte sie mit lockeren Moves verzaubern und beruhigen.| So musste sie nach der Aufführung| nur noch die Blumen aufsammeln, die man auf die Bühne geworfen hatte.| Zu anderen Zeiten| musste sie dafür fast mit dämonischen Endgegnern kämpfen.;"filler
Hatten wir nicht letztens über den Begriff ""Resonanz"" gesprochen? Problematisch, weil das vielleicht so ähnlich wie bei ""Wärme"" ist, also irgendwie literal sein kann und metaphorisch?";;filler;FILLER (s. vorheriges Item);;441;0
5;Louise hatte bemerkenswerte geistige Fähigkeiten.| Ihr Gehirn war ein Computer, in dem jede Datei fein säuberlich im entsprechenden Verzeichnis gespeichert war und auf Knopfdruck abgerufen und bedient werden konnte.| Doch in letzter Zeit kam es gelegentlich zu Stromausfällen.| Plötzlich war sie nicht mehr in der Lage,| auf die einfachste Anfrage zu reagieren.;Louise hatte bemerkenswerte geistige Fähigkeiten.| Sie besaß ein beeindruckendes Wissen über Fakten| und konnte in überwältigender Geschwindigkeit Informationen liefern und darüber nachdenken.| In letzter Zeit kam es jedoch gelegentlich zu Stromausfällen.| Plötzlich war sie nicht mehr in der Lage,| auf die einfachste Anfrage zu reagieren;Die Führungskräfte des Unternehmens waren sehr besorgt über die Stromversorgung.| Alle Daten im Netzwerk waren auf Servern gespeichert, die ständig laufen mussten.| In den vorangegangenen Wochen war es jedoch gelegentlich zu Stromausfällen gekommen.| Schließlich begann das Unternehmen zu überlegen, ob in Backup-Generatoren investiert werden sollte.;Louise schwingt  sich gerade für ein Technikprojekt ein. Sie kann mit ihrem Geist jede Welle reiten und in Gesprächen mit ganzen Bibliotheken um sich werfen. Wenn sie am Computer sitzt, werden ihre Finger zu kleinen Kabeln und verschmelzen mit dem Gerät zu einem Gewitter aus Information. In letzter Zeit kam es jedoch gelegentlich zu Stromausfällen. Fehlt der Saft, tippt sie einfach im Dunkeln auf ihren eigenen Synapsen weiter. Ihr Gedächtnis ist eine hochauflösende Kamera und verliert nichts.;X;x;x;ITEM ( LC ggf zu kurz? und ISM fehlt noch);item;361;361
6;Die SchülerInnen der Schule waren notorisch widerspenstig.| Es war wie im Zoo.| Neue PflegerInnen wurden in der Regel den harmlosen Tieren zugeteilt:| den gezähmten Ziegen,| den gelassenen Giraffen,| den lustigen Pinguinen.| Tieren, mit denen man| ohne Schutzhandschuhe arbeiten konnte.| Es waren sowohl die intelligenteren| als auch die aggressiveren Tiere,| die zusätzliche Sicherheitsmaßnahmen erforderten.;Die SchülerInnen der Schule waren notorisch widerspenstig.| Neue LehrerInnen wurden in der Regel den weniger störenden Klassen zugeteilt:| den jüngeren, ruhigeren und entspannten Kindern.| Sie machten selten Ärger|, sodass man| ohne Schutzhandschuhe mit ihnen arbeiten konnte.| Es waren sowohl die intelligenteren| als auch die auffälligen SchülerInnen,| die eine spezielle Betreuung benötigten.;Die Tiere in der Auffangstation| kamen von sehr unterschiedlichen Orten.| Einige von ihnen waren Haustiere von BesitzerInnen gewesen,| die gestorben oder weggezogen waren.| Für gewöhnlich waren diese Tiere gutmütig| und man konnte sie ohne Schutzhandschuhe anfassen.| Andere Tiere waren missbraucht| oder sogar zum Angriff abgerichtet worden.| Sie erforderten besondere Sicherheitsmaßnahmen.;Die SchülerInnen der Klasse 12b waren ein bundgescheckter Flickenteppich.| Fast alle hatten ihre Zotteln bunt getränkt.| Manche hatten sogar ihre Mähne zu bedrohlichen Stacheln geformt und sahen aus wie Seeigel.| Die Dornen waren jedoch ungefährlich und| man konnte sie ohne Schutzhandschuhe anfassen.| Die SchülerInnen waren so friedlich wie Gänseblümchen.| Kopfskulpturen nannten sie ihre Werke.| Außenstehende wiederum sprachen gar von offenen Messern, die herumliefen.;X;x                              ...die SchülerInnen    …neue LehrerInnen…..            SM:…..auch die auffälligen SchülerInnen              LC: …waren Haustiere von Besitzern gewesen, die …weggezogen waren. ;x;FILLER (hier ist mir die EM motivisch nicht deutlich genug);item;409;409
7;Ronja war in etwa so beweglich wie ein Baum.| Der Apfel fällt nicht weit vom Stamm| und Ronjas Schwester war aus demselben Holz geschnitzt| wie Ronja und ihr Vater.| Nur ihre Mutter war eher ein Springkraut:| flexibel, beweglich, kann in kürzester Zeit ganze Flächen besiedeln.| Ronja musste trotzdem am Sportunterricht teilnehmen.| Und obwohl sie wie ein Felsen dastand,| hatte sie mehr Spaß am Sport als alle anderen zusammen.;Ronja ist schon lange als Botanikerin in der Forschung tätig.| Nicht immer ist sie zufrieden mit den Bedingungen.| Dennoch ist es ihre große Leidenschaft.| Sie ist aus demselben Holz geschnitzt wie ihre Mutter.| Pflanzen waren sehr präsent in Ronjas Kindheit.| Früh fing sie damit an, Blüten zu pressen.| Sie hat immer noch fünf Umzugskisten| mit gepressten Blüten aus dieser Zeit.| Mittlerweile interessiert sie sich vor allem| für Pflanzenphysiologie und Biochemie.;Ronja ist in den Bergen aufgewachsen| und an ein naturnahes und körperlich anspruchsvolles Leben gewöhnt.| Abends, nach einem langen Tag,| beschäftigt sie sich auch gerne künstlerisch,| stellt Figuren her.| Zuletzt hat sie einen Luchs gemacht.| Der ist aus demselben Holz geschnitzt| wie das Nachtkästchen, dass sie sich gebaut hat.| Ronja hat über die Jahre vielerlei Fertigkeiten erlernt.| Sie sehnt sich jedoch auch nach Neuem.| Ihr großes Ziel ist eine Reise durch die Mongolei.;Ronja hatte schon vor Jahren das Junglefieber gepackt.| Wie nach einer Gehirnwäsche kam sie auf den Trichter,| bei einer Jungleexpedition aufzusatteln.| Ihre Eltern klopften auf Holz,| als Ronja das Nest verließ.| Als Talisman gaben sie ihr einen Wanderstab mit.| Er war aus demselben Holz geschnitzt| wie die Eingangstür ihres Hauses.| Ronja konnte sich auf die Aufregung ihrer Eltern keinen Reim machen.| Der Jungle ist kein Ponyhof, das war ihr klar.| Aber dass die Natur sie verschlucken würde, glaubte sie nicht.;Filler;Filler -> wie beesprochen ist das Target hier idiomatisch ;filler;FILLER;F3;428;0
8;Silas war Börsenmakler in einem eher kriminellen Unternehmen.| Er war jemand speziell für die dreckigsten Tricks beim Kundenfang und Spekulieren.| Er konnte aus Müll Geld machen.| Es war für ihn kein Problem, sich die Hände schmutzig zu machen.| Er liebte das Schmutzige.| Erst die Finanzkrise setzte dem sudeligen Sumpf einer Firma ein Ende: Erst ging Silas Firma pleite, dann schließlich Silas.| Mittlerweile berät er die Börsenaufsicht und teilt seine schmutzigen Geheimnisse.;Silas ist Kriminologe und interessiert sich schon seit seiner Kindheit für Kriminalfälle.| Da Silas parallel ein Interesse in Naturwissenschaften entwickelte, war Kriminologie das Beste, was er studieren konnte.| Er hatte schon immer wissen wollen, wie es dazu kommt, dass sich Menschen die Hände schmutzig machen.| Die Motive, die inneren Konflikte, und natürlich mit welcher Technik die Täter gefasst werden.| Am meisten fasziniert ihn noch immer die DNA, und wie so etwas Kleines so deutliche Spuren hinterlässt.;Silas hat andere Interessen als seine Schwester.| Die will nichts lieber als im Dreck spielen und damit herumspritzen.| Silas hat hingegen andere Freizeitpläne.| Sich die Hände schmutzig machen, das war noch nie was für Silas.| Silas schaute lieber die Welt an, als sie anzufassen, und malte sie gerne.| Weil Hermine Silas oft mit Dreck ärgert, hat sich Silas daher entschieden ein großes Bild seiner Schwester zu malen, wie sie mit einem Traktor Gülle in ihrem Zimmer versprüht.| Sie liebt das Bild.;Silas versumpfte in letzter Zeit häufiger in den schrägsten Ecken der Stadt.| Seine Stelle ging ihm flöten.| Silas ist sofort eine neue zugeflogen, jedoch fehlt ihm gerade der Funken, um wieder richtig Gas geben zu können.| Bevor er Makler wurde, hüpfte Silas auf dem Bau herum, bis er sich den Rücken zerschossen hat.| Zumindest muss er sich die Hände nicht mehr schmutzig machen, sagt er immer.| Silas gefällt ist viel mehr, butterweiche Hände zu haben, anstatt Reibeisen. ;;"Filler-> im EM kommt zu häufig schmutzig bzw. Schmutz o.ä.; und Target expression müsste überall dieselbe Struktur aufweisen: sich die Hände schmutzig zu machen…da sonst wahrscheinlich nicht vergelichbar ";x / ;FILLER;F2;479;0
9;Sören hatte viel Glück im Leben.| Sein Reichtum war regelrecht vom Himmel gefallen und wenn er Probleme hatte, wurden sie ohne großen Wirbel einfach weggeweht.| Alles fiel ihm in den Schoß.| Und all das, ohne dass er dem Glück je entgegenfliegen musste.| Sören lebte mit den Winden, sagen einige, manche nannten ihn einen Luftikus.| Doch verflogen hatte er sich im Leben nie.;Sören war eigen, aber in vielem sehr begabt.| Es war so, dass egal wie komplex die Aufgabe war und wie lange sie dauerte, Sören die Ruhe und die passenden Ideen dafür fand.| Es flog ihm zu.| Mit anderen Sachen hatte Sören wiederum Schwierigkeiten.| Seine Leidenschaften kann er nicht immer gut teilen.| Dennoch fand Sören immer wieder Gesellschaft, zB. über das Schachspielen. ;Sören ist gerne mit sich alleine, dennoch mag er es, wenn es etwas lebendig um ihn herum ist.| Leider gibt es in seiner Gegend kaum interessante öffentliche Plätze, z.B. zum Lesen, und er fährt nur selten in die Stadt.| Seit kurzem lebt bei Sören jedoch ein kleines Vögelchen.| Es flog ihm zu.| Er muss es noch eine Weile pflegen, damit es bald wieder fliegen kann.| Sören vermisst jetzt schon die Zeit mit dem Vögelchen.;Sören liebt es im Chaos zu baden.| Seine Wohnung glich einem Testgelände für Bomben.| Er selbst sah sich eher als Kurator eines Stilllebens.| Zumindest bis das wackelige Rabenküken auf seiner Fensterbank aufschlug und durch seine Galerie bretterte.| Es flog ihm zu.| Nach zwei Tagen konnte Sörens neuer Kollege wieder auf Spur gebracht werden.| Seither besucht der Rabe Sören häufiger, um gemeinsam mit ihm im Chaos zu baden. ;filler;Filler -> Target expression hat nicht überall dieselbe Struktur ;filler;FILLER ;F1;375;0
10;Merve ist seit kurzem verliebt und nur noch auf fernen Planeten anzutreffen.| Es geschah ohne Countdown ziemlich schnell vor zwei Wochen.| Sie sagt, dass es etwa 3 Sekunden dauerte und schon hatte sie die Umlaufbahn verlassen.| Sie schwebte durch den Raum.| Seither ist um sie herum alles wie voller Sternenstaub und Glitzer.| Dennoch hat Merve ein wenig Angst, was sie von Zeit zu Zeit doch dazu zwingt, auf dem Planeten zu landen, um sich ein wenig zu erden.;Merve träumt davon Kostümdesignerin zu werden.| Sie konzipiert gerne die buntesten Kleider.| Sie liebt die Unterschiede der Menschen.| Es ergeben sich dadurch viele Design-Möglichkeiten.| Derzeit schneidert sie am liebsten Kleider für ihre langjährige Freundin und Sängerin Anna.| Sie habe ein sehr besonderes Auftreten, sagt Merve, denn sie schwebe durch den Raum.| Merve gefallen solche Momente und sie genießt ihren Beruf daher sehr, auch wenn es nicht immer leicht ist in dem Bereich.;Merve ist Astronautin und liebt jeden Moment, den sie in der Umlaufbahn der Erde verbringen kann.| Gerade schickt sie ihren FreundInnen eine Videobotschaft und demonstriert ihnen die Schwerelosigkeit.| ‚Wie einfach man sich hier von A nach B bewegen kann!‘ Sie schwebt durch den Raum.| Dann macht sie noch ein paar Saltos.| Ihre FreundInnen sind total begeistert.| Ob sie wieder zurück möchte, wird sie gefragt. ‚Ja‘, sagt sie, ‚aber es wäre auch schön, wenn die Erde ins All kommen könnte.‘;Merves Theaterprojekt war ein Schiff ohne Kurs.| In der Organisation war der Wurm drin.| Auch ihre FreundInnen ließen sie am Ende fast in der Wüste stehen.| Sie stand vor einem Berg aus Trümmern, aber sie folgte weiter dem Ruf der Bühne und rettete ihr Baby: Sie sezierte das Skript, würzte ein paar Stellen und konnte mit der Bühnentechnik sogar eine bunte Monsterwolke züchten.| Diese schwebte durch den Raum während des Finales.| Die Show wurde zum Feuerwerk für die Sinne.;"X
EM: Im zweiten Segment einfach ""vor zwei Wochen"" streichen? Finde das verwirrend, wenn im ersten Satz ""seit einigen Wochen"" steht.

EM: ""Sie konzipiert gerne Kleider für Menschen"" ist etwas redundant, vor allem, wenn im nächsten Satz auch nochmal ""Menschen"" kommt.

""Kleider für ihre Freundin""

entweder ""Sie habe ein sehr besonderes Auftreten ... und schwebe durch den Raum"" oder ""Sie hat ein sehr besonderes Auftreten... und schwebt durch den Raum""

Bei MM vllt nicht ganz klar, ob Merve schwebt oder die Wolke.";(x) mag ich sehr!  allerdings sind auch hier die Target expressionen nicht identisch in ihrer Struktur ;filler;ITEM (fand Ivan auch gut.)  ANMERKUNG: Die Target muss nicht komplett gleich sein, haben R/F auch nicht so gemacht. Kleine Anpassungen in Tempus oder für grammatische Einbettung legitim. ;item;460;460
