hux2021_items_as_used;;;;;;;;;;;
11;Petra verlor sich gerne in Träumen und Ideen.| Sie liebte diese Trunkenheit, während sie sich z.B. Geschichten ausdachte.| Dabei schunkelt sie lange zwischen den möglichen Wendungen und Ausdrücken.| Sie betrank sich richtig mit Geschichten und war danach wie verkatert.| Es waren heftige Räusche.| Sie war süchtig danach und schaffte es, trotz all der kreativen Torkelei auf dem Weg, Schriftstellerin zu werden.;Petra besuchte letzte Woche ihr Lieblingsmuseum, in dem sie schon lange nicht mehr gewesen war.| Sie verbrachte Stunden damit, sich die Bilder, Kunstwerke, Ausstellungstücke und Info-Texte durchzulesen und alles in Erfahrung zu bringen, was sie konnte.| Es war ein heftiger Rausch.| Petra vergaß schnell die Zeit und wurde fast im Museum eingeschlossen, doch der Hausmeister bemerkte sie zum Glück noch rechtzeitig.;Petra besuchte vor einer Woche ihren alten Freund Miroslav.| Früher waren sie beste Freunde gewesen und hatten sogar zusammen in einer Punk-Band gespielt.| Sie redeten bis spät in die Nacht über alte Zeiten und tranken Sterni.| Es war ein heftiger Rausch.| Petra hatte am nächsten Tag starke Kopfschmerzen.| Doch Miroslav hatte die besten Rezepte gegen Kopfschmerzen und so ging es Petra schnell wieder gut. ;Petra ist Richterin.| Problemlos kann sie Argumente so tief wie Ozeane formulieren.| Zugleich klingen sie wie feine, scharfe Messer.| Sie behält fast immer die Fassung, nur selten bricht doch ein Damm in ihr.| Heute erst bei einem Angeklagten, der vor der Fahrt sein Auto und sich selbst tankte.| Der Fahrer knutschte schließlich den Asphalt.| Es war ein heftiger Rausch.| Das Auto war nur noch eine Flunder und es gab neben dem Fahrer zwei Verletzte.| In solch unverantwortlichen Fällen bricht in Petra ein Feuer aus und ihre Worte werden zu Raketen.;"X
EM: Petra berauschte sich gerne an Träumen und Ideen. Sie liebte diese Trunkenheit, während sie sich Geschichten ausdachte. Dabei schunkelte sie  lange zwischen möglichen Wendungen und Ausdrücken. Sie betrank sich richtig an den Worten und war danach wie verkatert. Es waren heftige Räusche. Sie war süchtig danach und kostete ihre Droge voll aus. 

Fände es besser, wenn im ersten Satz ""berauschte"" stünde als ""verlor sich"", auch wenn später der Rausch die target expression ist. Aber das Sichverlieren ist mir hier noch nicht nah genug an der Metapher dran.

Im letzten Satz auf keinen Fall schreiben, dass sie es trotz der Torkelei schaffte, Schriftstellerin zu werden, weil das dann eine literale Konnotation in die Metapher bringt. Wir wollen ja nur sagen, dass das Schreiben für sie WIE ein Rausch war und nicht, dass sie ständig besoffen war und trotzdem Schriftstellerin werden konnte.";(x) find ich auch gut       aber auch hier müssten die Target expressionen angepasst werden, ansonsten Filler  ;filler;ITEM ;item;411;411
12;Nach 10 Jahren im gleichen Beruf wagte Harry den Sprung in die Freiheit und breitete seine Flügel aus.| Endlich konnte er die Welt von oben sehen, in die Weite blicken und sich losreißen von seinem dunklen Tal aus Akten.| Doch Harry flog so weit in die Höhe, dass er die Kraft verlor.| Es war ein turbulenter Fall.| Harry ging pleite und musste wieder von Neuem das Fliegen lernen.| Dennoch blieb er optimistisch und bereute seinen Sprung nicht. ;Harry machte vor Jahren viel Geld mit Gewinnspielen und hatte ein sorgenfreies Leben: Alles lief super.| Doch dann machte er schwere Verluste.| Sehr schnell bekam Harry finanzielle Probleme, der Stress wurde zu viel und er konnte nicht mehr.| Es war ein turbulenter Fall.| Harry hatte sich übernommen und verlor alles.| Er fand jedoch auch danach wieder seinen Weg und sucht heutzutage den Spaß am Risiko  höchstens noch in Videospielen.;Harry war sich sicher, dass er seinen ersten Fallschirmsprung gut meistern würde.| Es war sein größter Traum, wenn auch zugleich seine größte Angst, einmal mit dem Fallschirm aus einem Flugzeug zu springen.| Es war ein turbulenter Fall.| Harry hatte jedoch den Spaß seines Lebens.| Mächtig durchgeschüttelt kam er wieder heil am Boden an und sprang sofort nochmal. ;Harry war ein Überflieger, wenn es um Tetris ging.| Mit blitzgeölten Bewegungen rattern seine Hände über die Tasten, ansonsten sah man nur eine steinerne Statue vor dem Spielautomaten.| Seine Gedanken lebten in einer Art Blase und waren immun gegen das schrille Geschnatter der Zaungäste.| Wie in einem wilden Strudel schraubten sich die Tetris-Steine zu Boden.| Es war ein turbulenter Fall.| Harrys Highscore jedoch explodierte immer weiter nach oben. ;"?
MM: Finde das gundsätzliche Bild, das MM durchzieht, ganz gut, aber es macht irgendwie keinen Sinn, dass es hier ein ""turbulenter"" Fall ist, oder? Er ist ja gut im Tetrisspielen, also sind seine Bewegungen doch nicht chaotisch, sondern schnell und präzise? 
";x;"x / den namen öfter mal durch das pronomen ersetzen / zuschauende zaungäste ist doppelt, zaungäste schauen immer zu, deshalb werden sie so genannt / schrauben findet immer aufwärts statt, also durch kreisten, kreiselten... ersetzen, schlingerten; wenn reflexiv dann nur: schraubten sich in den boden ein, nicht :zu: boden, dann nur aufwärts.";ITEM (Ivan fand es auch gut. Ich denke das ISM ist soweit auch ok…);item;446;446
13;Peters Reiseberichte waren für die Zuhörer wie ein Gewitter aus Klang.| Mit jeder Wendung in den Erzählungen wurde sie in neue Symphonien gerissen.| Sein Erscheinungsbild war regelrecht explosiv und passte zu der Musik seiner Geschichten.| Es hatte eine gute Resonanz.| Verband sich gut und ergab zusammen eine ganze Oper, der man als Zuschauer beiwohnen konnten.| Man bekam das Gefühl der Korpus seiner Geschichten zu sein.;Peter beschäftigt sich viel mit bildender Kunst.| Er sucht gerne nach ganz besonderen Details in den Techniken der Künstler und stellt sich vor, wie es ist, ein großes Kunstwerk zu malen.| Besondere Kunst findet Peter aber auch an ganz unscheinbaren Orten.| Gestern ging Peter durch die Straße und begegnete einem tollen Werk.| Es hatte eine gute Resonanz.| Peter mochte solche Ereignisse im Alltag.| Kunst ist überall.;Peter kaufte sich vor kurzem eine Ukulele.| Es war schon immer sein Wunsch gewesen, noch ein Instrument zu lernen.| Sogar den Nachbarn gefiel die Idee.| Er verbrachte ohne Mühe viel Zeit beim Spielen und der Klang im Wohnzimmer war sehr gut.| Dieses hatte eine tolle Resonanz.| Seither veranstaltet er kleine Konzerte, was den Zusammenhalt unter den Nachbarn stärkt.| Die Ukulele hat Peter zu ganz neuen Ausdrucksmöglichkeiten und FreundInnen verholfen.;Peters Musik war ein Jungbrunnen für die Sinne.| Jeden Sonntag tigerte er durch die Stadt und verzauberte sie mit seinen Beschwörungen.| Sein Instrument hatte er aus verschiedensten Trümmern zusammengegossen.| Es hatte eine gute Resonanz.| Äußerlich war es ein Monster.| Innerlich ein verspieltes Kätzchen.| Peter war ein Stern am Himmel dieser Stadt.| Er brachte Herzen zum Glühen und Berge zum Weinen.;filler;x                                          SM: …der KünstlerInnen…       LC:..noch ein Instrument zu spielen;filler;"ITEM (Ukulele kannte Ivan nicht und ist ggf. ein holpriges Wort; Korpus merkte Ivan auch an, da denke ich aber, dass man das kennt. Ansonsten ""Klangkörper""…";F3;424;0
14;Lea hatte sich angewöhnt,| ihren Bruder Matti nur noch als das Grab der Familie vorzustellen,| seit dieser immer mehr in den dunklen Machenschaften einer Bande Kleinkrimineller aufging.| Er empfand sein neues Leben hingegen durchaus als Bereicherung| und hatte keine Ahnung,| warum sie ihm vorwarf,| er würde das Gold der Familie versilbern. Er dachte immer, mit ihr auf einer Wellenlänge gewesen zu sein.;Lea hatte sich angewöhnt,| von ihrem Mann Jakob nur noch als dem blöden Schäfer zu sprechen,| seit er begonnen hatte,| die schwarzen Schafe der Familie ihres Vaters| und die weißen Schafe der Familie ihres Onkels| gemeinsam inmitten eines Birkenhains zu tränken –| denn diese Schafe brachten nach ihrer Meinung nur minderwertige| schwarzweiß gescheckte Lämmer zur Welt.| Sie warf ihm vor, das Gold der Familie zu versilbern.;Lea hatte sich angewöhnt,| ihren Bruder nur noch als den Ruin der Familie vorzustellen,| seit dieser immer mehr in die Machenschaften einer Bande Kleinkrimineller geriet.| Er selbst hatte jedoch sehr viel dazugelernt| in diesem aufregenden neuen Leben und wusste zB.,| daß sich versilbertes Gold besser vor dem Finanzamt verstecken ließ.;;filler;Filler;filler, (x), obwohl ichs eigentlich ganz gut find. was ist krass daran? die schafe werden ge-tränkt, nicht er-tränkt? / aber das target musz auch in das zweite drittel...;SM ist mir zu krass;F1;405;0
15;Julie war nach Julians Aussage eine heiße Olle,| die er nicht, ohne sein Bein zu heben,| an der Ecke würde stehengelassen haben -| wenn sie einmal beim Sex auf ihn warten würde.| So aber wie die Dinge lagen,| konnte er stets nur zusehen,| wie sie schon den nächsten vernaschte, statt zu warten,| bis er denn endlich gekommen war.;Julie hatte definitiv die Nase voll von Julian.| Es war ein heftiger Streit zwischen den beiden entbrannt,| der wie immer darin endete,| daß er türenschlagend das Haus verließ.| Doch wie auch sonst, stand er am nächsten Morgen mit seiner Sporttasche wieder in der Tür,| ließ die Demütigungen über sich ergehen| und sie hatte auch ihre Ruhe,| als er dann endlich gekommen war.;Julie ertrug nur schwer die Unpünktlichkeit ihres doch sehr geliebten Freundes.| Ob sie nun irgendwo zum Essen, zum Tanzen oder einfach nur im Park für ein Bier verabredet waren| - jedesmal konnte sie sich sicher sein,| von mindestens drei weiteren Kerlen angebaggert worden zu sein,| bis er denn endlich gekommen war.;RAUS;filler;Filler ;filler;Narrativ ist mir zu krass, target steht am Ende.  Ich halte  das Thema Sexualität in den Items für ablenkend. ;;329;0
16;Martin kam oft Stunden zu spät zu Terminen. Heute ist er zum Essen bei seinem Freund eingeladen. Martin wusste, dass sein Freund Hackfleisch aus ihm machen würde, wenn er wieder zu spät kommt. Sein Freund erinnerte Martin mehrmals, weil er den Braten schon riechen konnte. „Ich esse dich zum Frühstück, wenn du nicht kommst.“, meinte sein Freund. Martin fühlte sich zwar wie Wackelpudding, schaffte es aber wenigstens nur 10 Minuten zu spät zu sein. ;Martin kam heute wieder spät von der Arbeit nach Hause. Er musste in letzter Zeit viele Überstunden machen. Es gab ein Server-Problem, das seine Abteilung nicht lösen konnte. Tagelang las er sich durch Tutorials, und arbeitete an seinem Code. Er konnte den Braten schon riechen. Es musste etwas mit dem Zugang zum Speicher zu tun haben. Heute konnte er einen Weg finden, das Problem zu lösen. Martin bekam zum Dank zwei Tage frei.;Martin ist Autor von Kochbüchern.| Er kocht nicht nur aus Leidenschaft,| sondern ist darin sogar etwas obsessiv.| Daher lebt er in einer großen Wohngemeinschaft,| damit er große Mengen für viele Menschen kochen kann.| Heute gibt es Gans.| Schon an der geschlossenen Haustür kann man| den Braten riechen.| Martin erfindet täglich neue Rezepte und es kommt selten vor,| dass es jemanden nicht schmeckt.| Daher lädt er auch gerne Gourmets ein,| die spannend über Essen reden können.  ;Martin war Gourmet. Er ließ nichts anbrennen, wenn es um gutes Essen ging. Auch vermeintliches 08/15 Essen trifft bei seinen Sinnen ins Schwarze. In Falafel könnte er baden. Heute verputzte er schon 2x falscher Hase vom Grill. Er ist mit der Nase über den Laden gestolpert. Er konnte schon von weitem den Braten riechen. Das passiert ihm öfter, wenn er durch die Stadt tigert und seinen Rüssel ausstreckt. ;"filler
Es ist nicht gut, wenn die Metapher des Essens ins Literale transportiert wird, indem die grundlegende Storyline darin besteht, dass er zum Essen eingeladen ist. Das ist das gleiche wie bei John und Gina, es muss klar sein, dass man zwei verschiedene Ebenen hat.";Filler- > Target ist idiomatisch ;filler;FILLER;F3;450;0
17;Esra wollte ihren ehemaligen Arbeitgeber vor Gericht in Frikassee verwandeln.| Doch sie wusste nicht, dass die Firma sich von einem der gefährlichsten Raubtiere im Meer vertreten ließ.| Keines seiner Opfer war je von ihm verschont worden.| Der Anwalt war ein Hai.| Wen er zwischen die Zähne bekam, der konnte damit rechnen, im Gerichtssaal zerfetzt zu werden.;Esra hatte ihren ehemaligen Arbeitgeber auf Schadensersatz verklagt.| Doch sie wusste nicht, dass die Firma von dem gefürchteten Dr. Dings vertreten würde.| Bisher hatte dieser noch nie einen Fall verloren.| Der Anwalt war ein Hai.;Dr. Dings war ein merkwürdiger Zaubertrank verabreicht worden.| Jeder, der ihn trank, wurde in das nächstbeste Tier verwandelt, an das er dachte.| Als er eine Unterwasser-Dokumentation im Fernsehen einschaltete, war es schon geschehen:| Der Anwalt war ein Hai.;Wir waren die Schüler des Films, der uns etwas über Phantastik beibrachte.| Identitäten von Tieren und Charakteren waren rostige Schrauben, die der Regisseur ständig austauschte.| Zum Beispiel fand sich Dr. Dings – eben noch in seiner New Yorker Kanzlei sitzend – plötzlich mitten im Meer wieder:| Der Anwalt war ein Hai. ;filler;Filler -> da Target expression das letze Segment bildet, ansonsten ggfs. An andere Position verschieben ;filler;FILLER;F1;359;0
18;Was die Probleme in seinem Land anging, war Lars stets ein Träumer gewesen,| bis Xenia ihn wachrüttelte.| Seine Augen waren noch etwas verklebt, er schaute recht schläfrig drein.| Dennoch schien die Schlafenszeit nun zu ihrem Ende gekommen zu sein. Denn auch wenn es schon spät war, lohnte es sich noch immer, hinaus in die Welt zu gehen.;Lars hatte nie über die Probleme in seinem Land nachgedacht,| bis Xenia ihn wachrüttelte.| Er begriff nicht sofort, was vor sich ging, seine Sensibilitäten mussten erst entwickelt werden.| Dennoch begann er langsam, anders über die Dinge zu denken. Und auch wenn er länger gebraucht hatte als manch anderer, hieß das schließlich nicht, dass es schon zu spät war.;Lars‘ Morgenroutine hatte immer schon darin bestanden, dass er so lange schlief,| bis Xenia ihn wachrüttelte.| Doch jetzt war sie weg und er merkte, dass er sich von nun an allein darum kümmern musste, rechtzeitig aufzustehen. Es fiel ihm schwer, seine eigenen Entscheidungen zu treffen, doch langsam gewöhnte er sich an diese neue Aufgabe.;Für Lars war das Aufstehen eine Zwangsarbeit.| Jeden Morgen weigerte er sich so lange, das Steuer seines Lebens zu übernehmen,| bis Xenia ihn wachrüttelte.| Bis ins hohe Alter wuchs er aus seinen Kinderschuhen nie ganz heraus.| Aber zu seinem Glück setzte Xenia ihm auch nie die Pistole auf die Brust.;X;x                                    müssten wir nur von der Länge schauen, ob das ausreicht ;x / finde die länge perfekt, eher die andern noch straffen;ITEM;item;338;338
19;Hegels Vorstellung vom dialektischen Idealismus war eine Kopfgeburt gewesen.| Generationen von nachfolgenden PhilosophInnen bekamen Kopfschmerzen von einem derart schwindelerregenden Konstrukt.| Zum Glück wurde Hegel endlich durch Marx| vom Kopf auf die Füße gestellt.;Hegels Vorstellung vom dialektischen Idealismus war zu bedenkenlos von ihm entworfen worden.| Generationen von PhilosophInnen wurden durch sein Denken verwirrt.| Zum Glück wurde Hegel endlich durch Marx| vom Kopf auf die Füße gestellt.;Hegel hatte wieder einmal Kopfstand geübt.| Leider bereitete ihm der Aufstieg viel weniger Schwierigkeiten als der Abstieg.| Gestern war er stundenlang gefangen.| Zum Glück wurde Hegel endlich durch Marx| vom Kopf auf die Füße gestellt.;Wenn Hegel philosophierte, entriss er der Philosophie jeden Boden.| Manche sagen, er knipste ihr das Licht an, andere meinen, er versenkte sie im Meer.| Eines Tages war er bei seiner morgendlichen Kopfstandübung in dieser Position eingeschlafen!| Zum Glück wurde Hegel endlich durch Marx| vom Kopf auf die Füße gestellt.;filler, weil es sich glaub ich nicht so leicht umbauen lässt, dass die target expression am Ende steht.;Filler -> da Target expression am Ende steht ;filler;FILLER/ITEM (wenn angepasst dann auch als Item möglich);F1;268;0
20;Eigentlich sollten die Figuren im Regal dafür sorgen,| dass Erna stets alle Hände voll zu tun hatte, wenn sie staubwedelnd durch die Wohnung fegte.| Die Putzfee hatte jedoch ein Geistesblitz ereilt,| als sie einmal zufällig lange genug vor einem der Staubfänger verweilt war.| Man musste bei manchem Reinigungsakt einfach| ein Auge zudrücken,| dann säuberten sich die Regale wie von selbst.| Ihre Kinder waren ohnehin blind für den Schmutz.;Eigentlich sollten die Figuren im Regal dafür sorgen,| dass Erna stets genug zu tun hatte, wenn sie in der Wohnung ihrer Kinder putzen ging.| Sie kam jedoch eines Tages auf eine Idee,| während sie wie sonst auch viel zu lang vor einer der Figuren verweilt war.| Man musste bei diesem Reinigungsakt einfach| ein Auge zudrücken,| dann säuberten sich die Regale wie von selbst.| Die Kinder merkten den Unterschied sowieso nicht.;Eigentlich war es eine einfache Sache,| einen Verstorbenen für eine Beerdigung herzurichten.| Im Fall von Oma Erna jedoch erwarteten Bestatter P. andere Probleme.| Sonst gelang es im schlimmsten Fall manchmal nicht, dem Verstorbenen| ein Auge zuzudrücken,| was man dann mit speziellen Klammern erledigte.| Oma Erna jedoch sollte mit offenen Augen beerdigt werden und musste deshalb komplett geschminkt werden.| Die Angehörigen legten sehr viel Wert auf Erscheinung.;Eigentlich wollten wir die Nachteule im Regal längst durch einen neuen Staubfänger ersetzt haben,| weil sie uns nachts in unseren Träumen heimsuchte.| Weil Putzfee Erna jedoch besessen davon war,| entschieden wir uns dazu, dem ausgestopften Vogel| nur ein Auge zuzudrücken,| was bei Erna Luftsprünge auslöste.| Sie war froh, wenigstens ein wachsames Auge in der Wohnung zu wissen.;filler;"Filler-> Target expression nicht über all gleich …anstelle von  ""Dreck"" besser ""Schmutz"" ";filler, zu idiomatisch, ;Filler;F1;440;0
21;Inge fiel es schwer den Tatsachen ins Gesicht zu sehen.| Sie war alt wie ein Stein.| Jedes Mal, wenn sie ihre Tochter sah, | wurde ihr der Spiegel vorgehalten.| Die Jahre hatten tiefe Spuren hinterlassen.;Inge fiel es schwer ihr Alter zu akzeptieren, | Sie fühlte sich noch jung und vital.| Nur wenn sie ihre Tochter sah, | wurde ihr der Spiegel vorgehalten. | Die Zeit hatte viele Falten in ihrem Gesicht hinterlassen.;Inge liebte es, |an den Wochenenden die Flohmärkte nach second hand Kleidung zu durchstöbern| und auf Schnäppchenjagd zu gehen.| Von der Verkäuferin| wurde ihr der Spiegel vorgehalten,| während sie geschickt mit ihr um den Preis feilschte. ;;"?
EM: Die Sätze sind etwas zusammenhanglos, könnte man aber leicht ändern. 

Gebe Stephan Recht, dass ich nicht grundsätzlich alles Idiomatische ausschließen würde und das hatten Ivan und Benjamin auch bestätigt, denke ich. Hat vielleicht auch etwas mit der Konventionalität des Idioms zu tun. Wenn es wirklich so bekannt ist, dass es im normalen Sprachgebraucht gar nicht auffällt, ist es etwas anderes, als wenn ein Ausdruck sehr selten ist.";Filler-> da target expression idiomatisch und Satzgefüge eventuell zu kurz  ;x / auch wenn metapher - idiom nicht eingehalten scheint, finde ich bei nur wenigen items, meine eingeschlossen, dasz es sich um wirkliche metaphern handelt und nicht meistens um idiome... / weisz nicht, ob man das auch im rahmen dessen, was mittwoch zur sprache kam, (also alles sowieso literal interpretiert) nicht etwas lockerer nehmen kann;Filler;F3;204;0
22;Anna und Luisa waren ein Herz und eine Seele.| Lange Zeit steuerten sie gemeinsam durch dick und dünn,| bis sie eines Tages vom Kurs abkamen |und ihre Freundschaft | den Bach runter ging. ;Anna und Luisa waren seit ihrer Kindheit miteinander befreundet. | Lange Zeit waren sie unzertrennlich gewesen,| bis sie sich eines Tages so zerstritten, dass ihre Freundschaft | den Bach hinunterging. ;Ein Hirtenjunge führte seine Schafsherde durch satte grüne Wiesen.| Doch es war ein heißer Sommertag, |sodass er, um sich zu erfrischen, | den Bach hinunterging.;;"filler
""den Bach runtergehen"" ist wahrscheinlich ein gutes Beispiel für ein Idiom, dass wirklich zu geläufig ist";Filler-> da Target expression am Ende + idiomatisch  ;filler;Filler ;F1;188;0
23;Marion wurde gefeiert als Königin der Lüfte.| Virtuos schwebte sie über die Köpfe der Zuschauer | und verzauberte sie mit atemberaubenden Tricks/Kunststücken.| Es war ein Ritt auf der Achterbahn.;Marion war eine gefeierte Zirkusartistin. |Mit ihrer Trapeznummer begeisterte sie das Publikum Abend für Abend.| Ihre Tricks in schwindelerregender Höhe waren atemberaubend/spektakulär.| Es war ein Ritt auf der Achterbahn.;Endlich war es da |- das lang ersehnte Wochenende im Vergnügungspark.| Tom und seine FreundInnen reihten sich wieder und wieder in die Schlangen der Wartenden. | Sie ließen keines der Fahrgeschäfte aus. | Ihr Highlight war ein Ritt auf der Achterbahn.;;"filler
Umstellen wäre kein Problem, aber es besteht zu wenig Ähnlichkeit zwischen einem virtuosen Kunststück und einem Ritt auf der Achterbahn. Ist so ähnlich wie bei dem Tetris-Bsp.";Filler-> da Target expression am Ende ;filler;ITEM wenn target expression angepasst wird in Position;F3;195;0
24;Der Appetit auf neue Herausforderungen war Heinz schon lange vergangen.| Am Alltag fand er nichts Süßes mehr, sondern er schmeckte nur noch dessen Bitterkeit.| Er mochte sein Leben nicht und sagte:| ‚Das ist keine Pralinenschachtel, sondern eine Portion Mensafraß.‘;Privat und beruflich langweilte Heinz sich schon lange.| Er glaubte nicht mehr an Überraschungen,| sondern fühlte nur noch Stagnation.| Er mochte sein Leben nicht und sagte:| ‚Das ist keine Pralinenschachtel, sondern eine Portion Mensafraß.‘;Heinz war ein Gourmet, der unter schlechter Küche sehr litt.| Ein Kollege schwärmte ihm von der belgischen Schokolade vor,| die vom neuen Catering angeboten wurde.| Doch Heinz sagte mürrisch:| ‚Das ist keine Pralinenschachtel, sondern eine Portion Mensafraß.‘;Wenn Heinz Restaurants testete, verfuhr er wie ein Sieb.| Weniger gute landeten gleich auf seinem mentalen Müllhaufen.| Er wurde wütend, wenn Chocolatiers Verbrechen an einem Dessert begingen:| ‚Das ist keine Pralinenschachtel, sondern eine Portion Mensafraß.‘;"filler/X
Umstellen wäre möglich, aber war mir unser, weil das ja auch in gewisser Weise zu konventionalisiert sein könnte – falls man Forrest Gump kennt.";Filler-> Target expression am Ende ;filler;ITEM/FILLER (Anpassung positon target);;265;0
25;Die Gefühle seiner Mitmenschen prallten an Simons harter Oberfläche ab.| Wenn die emotionale Witterung um ihn herum zu dicht war,| wurde er zum Stein.| Allerdings kein Rosenquarz,| der durch seine bloße Anwesenheit Trost und Wärme gespendet hätte.| Vielmehr war er eine nasse Kalksteinwand.;Die Gefühle seiner Mitmenschen berührten Simon nicht.| Wenn jemand um ihn herum zu emotional war,| wurde er zum Stein.| Er war kein guter Zuhörer,| der durch seine bloße Anwesenheit Trost und Wärme gespendet hätte.| Vielmehr blieb er regungslos und ließ sein Gegenüber mit dessen Problemen allein. ;Jeder wusste, dass es gefährlich war, der Medusa direkt in die Augen zu sehen.| Auch Simon hatte man gewarnt, doch es war schon zu spät| und so wurde er zum Stein.| Ihr Blick hatte ihn durchbohrt und verwandelte ihn in leblose Materie. ;Die Gefahr, die von der Medusa ausging, war eine reißende Schlucht.| Denn ihr Blick gefror jeden, der ihm begegnete, in eine unbewegliche Puppe.| Auch als Simon sie ansah,| wurde er zum Stein.| Die Medusa war bekannt als der weiße Hai unter den Meeresgottheiten.;"X
Wärme könnte man ja ersatzlos streichen.

Schwierig eher das mit der Medusa, weil das vielleicht doch zu voraussetzungsvoll ist. ";x ;filler;Filler (Wärme m.E. sowohl Metapher als auch literal zugleich);F2;290;0
26;Jede neue Information wurde von Erna wie ein Buch in ihr mentales Bücherregal gestellt.| Die Abteilung für Naturwissenschaften war besonders gut sortiert.| Erna war eine wandelnde Bibliothek.| Wenn es darauf ankam,| konnte sie immer auf dieses Archiv zurückgreifen.| Immerhin hatte sie dort sämtliche Einträge von ‚A‘ wie ‚Amalgam‘ bis ‚Z‘ wie ‚Zentrifugalkraft‘ gelagert.;Es schien, als könnte Erna sich alles merken.| Besonders in den Naturwissenschaften hatte sie ein beachtliches Wissen angesammelt.| Erna war eine wandelnde Bibliothek.| Wenn es darauf ankam, konnte sie immer diejenige Information abrufen,| die im Moment entscheidend war.| Immerhin hatte sie dort sämtliche Einträge von ‚A‘ wie ‚Amalgam‘ bis ‚Z‘ wie ‚Zentrifugalkraft‘ gelagert.;Das mobile Schulprojekt ‚Bücher auf Rädern‘ sollte Wissen auch in die entlegensten Dörfer bringen.| Die SchülerInnen vor Ort konnten für vier Wochen ein Buch aus dem Bus ausleihen| und wenn er abfuhr, erhielten die Schulen digitale Kopien.| Er war eine wandelnde Bibliothek. Das Konzept schien gut anzukommen, denn die Bücher waren von den SchülerInnen sehr begehrt. ;Das mobile Schulprojekt ‚Bücher auf Rädern‘ goss Wissen wie durch Trichter in die SchülerInnen ein.| Das Vorzeigekonzept war der glänzende Stern am Himmel des sozialen Engagements.| Die SchülerInnen verschlangen nun die Bücher, die ihnen per Bus serviert wurden.| Er war eine wandelnde Bibliothek. Noch lange sprachen alle davon, denn teilweise waren die Bücher die besseren LehrerInnen. ;"x
bloß umstellen, kann die target expression schon ins zweite Segment oder ist das zu früh?";Filler-> da Target expression am Ende ;x / target an die richtige position rücken, dann sehr gut, weil das ist eine wirkliche metapher;ITEM / FILLER (target umsetzen);item;372;372
practice 01;"Sie bekommen im Folgenden ein paar Texte zu sehen.| Jedesmal, wenn Sie die Leertaste drücken, wird ein neuer Abschnitt aufgedeckt.| Im Anschlusz daran bekommen Sie eine Frage zum Text gestellt, die Sie bitte beantworten.| Um dies tun zu können, ist es notwendig die einzeln erscheinenden Abschnitte aufmerksam zu lesen.
";;;;;;;;;369,111111111111;396,25
practice 03;Es geht bei den folgenden Texten nicht um schnelles Lesen.| Ihre Lesegeschwindigkeit wird zwar erfasst, hat aber keinen Einflusz auf den weiteren Verlauf des Tests.| Sie können den Test auch jederzeit abbrechen.;;;;;;;;;;