"participant","itemid","regionid","target","elapsedtime","timeinterval","keyCode","string","set","group","lmergroup","tag2","mood","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","title",NA,NA,1742,1742,"NEXT_BTN","[ESTEE EXT.]",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","instruction1",NA,NA,2348,606,"NEXT_BTN","...[SPACE]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","instruction2",NA,NA,2859,511,"NEXT_BTN","...[PRESS]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","practice03","practice03_fixation",NA,3366,507,"NEXT_BTN","X",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","practice03","practice03_0",NA,3905,539,"NEXT_BTN","...[SPACE]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","instruction3",NA,NA,4442,537,"NEXT_BTN","12431.",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_fixation",NA,4952,510,"NEXT_BTN","X","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_0",-2,5454,502,"NEXT_BTN","ich stelle mir vor: ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_1",-1,5972,518,"NEXT_BTN","die weggegabelte entscheidung, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_2",0,6500,528,"NEXT_BTN","ca. der reine bezug. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_3",1,10539,4039,"NEXT_BTN","am andern ende die verkabelung ist ausgelöst, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_4",2,11214,675,"NEXT_BTN","weil import  des datamaterial lange verschoben. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_5",3,11723,509,"NEXT_BTN","hier nurkreisen von motten. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_6",4,12215,492,"NEXT_BTN","in merkwürdigen kreisen. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_7",5,12733,518,"NEXT_BTN","kann das nicht richtig sehen, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_8",6,13149,416,"NEXT_BTN","was sie ins holz schreiben, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_9",7,13543,394,"NEXT_BTN","aber ich bin mir sicher, ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_10",8,13937,394,"NEXT_BTN","sie haben etwas zu sagen. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_11",9,14320,383,"NEXT_BTN","soll keine fehler schreiben. ","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC001","LC001_12",10,14758,438,"NEXT_BTN","soll keine gebärden mehr.","all","LC","R-C","1LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_fixation",NA,15309,551,"NEXT_BTN","X","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_0",-2,15748,439,"NEXT_BTN","mönch am meer,","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_1",-1,16142,394,"NEXT_BTN"," der in den sand, der in die wiedergeborene linie am morgen ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_2",0,16433,291,"NEXT_BTN","seinen fusz setzt.","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_3",1,16705,272,"NEXT_BTN"," wägt den tag ab: ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_4",2,16963,258,"NEXT_BTN","eine neue aufgabe, ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_5",3,17210,247,"NEXT_BTN","eine die wartet, ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM003","EM003_6",4,17502,292,"NEXT_BTN","eine die jetzt schon vergangen.","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_fixation",NA,17930,428,"NEXT_BTN","X","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_0",-3,18189,259,"NEXT_BTN","etwa aufgeworfene felder gegen das neue jahr;","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_1",-2,18450,261,"NEXT_BTN"," also abgeerntet, gepflügt, ","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_2",-1,18696,246,"NEXT_BTN","zarter grüner flaum darauf.","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_3",0,18943,247,"NEXT_BTN"," man sieht die lange zeit noch dazwischen,","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_4",1,19179,236,"NEXT_BTN"," den winter, der nochnicht ist.","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","LC002","LC002_5",2,19405,226,"NEXT_BTN"," es legen sich alle zur ruhe.","all","LC","R-C","2LC","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_fixation",NA,19753,348,"NEXT_BTN","X","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_0",-5,19990,237,"NEXT_BTN","zählen Sie uns zu den mandeln. ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_1",-4,20203,213,"NEXT_BTN","wie weit wir uns verausgaben..., ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_2",-3,20416,213,"NEXT_BTN","alle striche stets umsonst.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_3",-2,20620,204,"NEXT_BTN"," warum wir füllmaterial brauchen: ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_4",-1,20821,201,"NEXT_BTN","das geschäft mit dem humus vielleicht, ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_5",0,21036,215,"NEXT_BTN","darin ihr alle aufgehoben der auferstehung entgegen usw.,","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_6",1,21238,202,"NEXT_BTN"," bis :namen: :orte: verschwimmen. ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_7",2,21441,203,"NEXT_BTN","(land) überall.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_8",3,21655,214,"NEXT_BTN"," eure scheisz heimat im geiste.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","FIL002","FIL002_9",4,21880,225,"NEXT_BTN"," zählen Sie mich zur mandel hinzu.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM001","EM001_fixation",NA,22251,371,"NEXT_BTN","X","all","EM","R-B","1EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM001","EM001_0",-3,22510,259,"NEXT_BTN","ewig alles ablegen, das dich erinnern will.","all","EM","R-B","1EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM001","EM001_1",-2,22768,258,"NEXT_BTN"," so wirst du ins grosze fahrtenbuch der andern eingeschrieben,","all","EM","R-B","1EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM001","EM001_2",-1,22993,225,"NEXT_BTN"," auch wenn alles längst aus dir geht.","all","EM","R-B","1EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM001","EM001_3",0,23207,214,"NEXT_BTN"," aber halte die asche dieses lebens noch fest, ","all","EM","R-B","1EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM001","EM001_4",1,23421,214,"NEXT_BTN","die dir von ihnen geblieben.","all","EM","R-B","1EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM001","EM001_5",2,23646,225,"NEXT_BTN"," nur entledige dich, wachse heran zu ihrem einzigen grund.","all","EM","R-B","1EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_fixation",NA,23915,269,"NEXT_BTN","X","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_0",-2,24129,214,"NEXT_BTN","das Wort ist nur Chirurg geblieben ","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_1",-1,24365,236,"NEXT_BTN","so lange als ich ihm erlaubte","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_2",0,24567,202,"NEXT_BTN"," die Hände warm zu halten","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_3",1,24770,203,"NEXT_BTN"," vor dem Hirn dem ewig kalten Ort","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_4",2,24974,204,"NEXT_BTN"," da geht es hin ","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_5",3,25176,202,"NEXT_BTN","da bleibt es ungeglaubt","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_6",4,25424,248,"NEXT_BTN"," die Hände werden einmal steif und kalt uns abwehrn","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_7",5,25649,225,"NEXT_BTN"," unsere Hände die wir ewig lieben","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_8",6,25873,224,"NEXT_BTN"," nur das Wort bleibt uns erhalten Chirurgie","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_9",7,26076,203,"NEXT_BTN"," verlassen und die Wände die mich einsperrn","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","EM002","EM002_10",8,26346,270,"NEXT_BTN"," trösten wird die Elegie","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_fixation",NA,26627,281,"NEXT_BTN","X","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_0",-4,26863,236,"NEXT_BTN","legen ab mit dem dampfer. ","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_1",-3,27088,225,"NEXT_BTN","das land in front, wir fahren rückwärts?","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_2",-2,27325,237,"NEXT_BTN"," weisz nicht, wie weit das zweite ufer noch weg, ","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_3",-1,27572,247,"NEXT_BTN","irgend nebel liegt über dem meer. ","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_4",0,27797,225,"NEXT_BTN","halte die asche dieses lebens noch fest, ","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_5",1,28020,223,"NEXT_BTN","die ich lang gesammelt habe. ","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","SM001","SM001_6",2,28257,237,"NEXT_BTN","in berlin wächst der kompost auf dem brandplatz.","all","SM","R-A","1SM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 09:31:57 GMT+0200 (CEST)","instruction4",NA,NA,30587,2330,"NEXT_BTN","[12431.fin v6.0]",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","title",NA,NA,2015,2015,"NEXT_BTN","[ESTEE EXT.]",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","instruction1",NA,NA,5063,3048,"NEXT_BTN","...[SPACE]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","instruction2",NA,NA,6166,1103,"NEXT_BTN","...[PRESS]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","practice03","practice03_fixation",NA,7351,1185,"NEXT_BTN","X",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","practice03","practice03_0",NA,8407,1056,"NEXT_BTN","...[SPACE]...",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","instruction3",NA,NA,9326,919,"NEXT_BTN","12431.",NA,NA,NA,NA,NA,NA,NA,NA
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_fixation",NA,10143,817,"NEXT_BTN","X","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_0",-5,15470,5327,"NEXT_BTN","zählen Sie uns zu den mandeln. ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_1",-4,16727,1257,"NEXT_BTN","wie weit wir uns verausgaben..., ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_2",-3,18111,1384,"NEXT_BTN","alle striche stets umsonst.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_3",-2,19015,904,"NEXT_BTN"," warum wir füllmaterial brauchen: ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_4",-1,20206,1191,"NEXT_BTN","das geschäft mit dem humus vielleicht, ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_5",0,21871,1665,"NEXT_BTN","darin ihr alle aufgehoben der auferstehung entgegen usw.,","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_6",1,23958,2087,"NEXT_BTN"," bis :namen: :orte: verschwimmen. ","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_7",2,25191,1233,"NEXT_BTN","(land) überall.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_8",3,26919,1728,"NEXT_BTN"," eure scheisz heimat im geiste.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","FIL002","FIL002_9",4,28902,1983,"NEXT_BTN"," zählen Sie mich zur mandel hinzu.","all","FL","R-D","2FIL","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_fixation",NA,30102,1200,"NEXT_BTN","X","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_0",-2,32038,1936,"NEXT_BTN","mönch am meer,","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_1",-1,34543,2505,"NEXT_BTN"," der in den sand, der in die wiedergeborene linie am morgen ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_2",0,35824,1281,"NEXT_BTN","seinen fusz setzt.","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_3",1,37231,1407,"NEXT_BTN"," wägt den tag ab: ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_4",2,38310,1079,"NEXT_BTN","eine neue aufgabe, ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_5",3,39559,1249,"NEXT_BTN","eine die wartet, ","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM003","EM003_6",4,40799,1240,"NEXT_BTN","eine die jetzt schon vergangen.","all","EM","R-B","3EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_fixation",NA,41919,1120,"NEXT_BTN","X","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_0",-2,45191,3272,"NEXT_BTN","das Wort ist nur Chirurg geblieben ","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_1",-1,47319,2128,"NEXT_BTN","so lange als ich ihm erlaubte","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_2",0,48511,1192,"NEXT_BTN"," die Hände warm zu halten","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_3",1,51719,3208,"NEXT_BTN"," vor dem Hirn dem ewig kalten Ort","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_4",2,52903,1184,"NEXT_BTN"," da geht es hin ","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_5",3,54399,1496,"NEXT_BTN","da bleibt es ungeglaubt","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_6",4,56688,2289,"NEXT_BTN"," die Hände werden einmal steif und kalt uns abwehrn","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_7",5,58982,2294,"NEXT_BTN"," unsere Hände die wir ewig lieben","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_8",6,63223,4241,"NEXT_BTN"," nur das Wort bleibt uns erhalten Chirurgie","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_9",7,67111,3888,"NEXT_BTN"," verlassen und die Wände die mich einsperrn","all","EM","R-B","2EM","down","tag4","tag5","tag6"
"Sun Oct 24 2021 13:26:05 GMT+0200 (Mitteleuropäische Sommerzeit)","EM002","EM002_10",8,69775,2664,"NEXT_BTN"," trösten wird die Elegie","all","EM","R-B","2EM","down","tag4","tag5","tag6"
