type,pos,lemma,freq,range
fläche,,,1,1
flügel,,,4,2
flüstern,,,3,2
fog,,,1,1
folg,,,1,1
folge,,,1,1
folgt,,,2,1
folgten,,,1,1
folie,,,1,1
folly,,,1,1
food,,,1,1
for,,,13,2
fordere,,,1,1
foreign,,,3,1
foreignness,,,1,1
form,,,3,1
formen,,,4,1
formenschiff,,,1,1
formlosen,,,1,1
forschen,,,1,1
forst,,,1,1
fort,,,4,2
fortgegangen,,,1,1
fortjagte,,,1,1
fotomustertafel,,,1,1
fracht,,,1,1
frack,,,2,1
frag,,,1,1
frage,,,1,1
fragen,,,4,1
fragile,,,1,1
fragliche,,,1,1
fragt,,,3,2
franca,,,1,1
frankfurt,,,1,1
frankreich,,,1,1
fransige,,,1,1
französisch,,,1,1
frau,,,1,1
frauen,,,2,2
frauenrechtlerin,,,1,1
frauenzimmer,,,1,1
frecherchen,,,1,1
fred,,,1,1
frei,,,4,2
freie,,,1,1
freigang,,,1,1
freight,,,1,1
freisprechanlage,,,1,1
freitag,,,1,1
freiwillige,,,2,1
fremd,,,1,1
fremde,,,3,2
fremden,,,1,1
fremdes,,,1,1
fremdheit,,,1,1
french,,,1,1
freud,,,7,2
freude,,,1,1
freudless,,,1,1
freuen,,,1,1
freund,,,4,1
freunde,,,3,1
freundin,,,1,1
friare,,,1,1
friedemann,,,1,1
friederike,,,1,1
friends,,,1,1
frieren,,,1,1
friese,,,1,1
fright,,,1,1
frischen,,,1,1
frisuren,,,1,1
fritz,,,1,1
frohlockende,,,1,1
from,,,1,1
frontier,,,1,1
frorn,,,1,1
froschkehlen,,,1,1
froschsang,,,1,1
froschtrack,,,1,1
frost,,,1,1
früh,,,2,1
frühen,,,2,2
früher,,,1,1
frühling,,,1,1
ft,,,12,1
fuhr,,,1,1
funken,,,1,1
fusselig,,,1,1
futtersprache,,,1,1
fächergaben,,,1,1
fächern,,,1,1
fäden,,,1,1
fälle,,,1,1
fänden,,,1,1
fängt,,,2,1
färbe,,,1,1
fördern,,,1,1
förderung,,,1,1
förmige,,,1,1
fühlen,,,1,1
fühleraugen,,,1,1
fühlt,,,2,1
führen,,,4,2
führn,,,1,1
führt,,,1,1
führten,,,1,1
führung,,,1,1
fülle,,,1,1
füllt,,,1,1
fünf,,,2,2
für,,,60,2
fürwaswörter,,,1,1
fürwörter,,,1,1
fütterte,,,1,1
fütterung,,,2,1
füße,,,1,1
füßen,,,1,1
g,,,17,1
gab,,,3,2
gabe,,,2,1
gabeln,,,1,1
galgeninsel,,,1,1
gallertartiges,,,1,1
gang,,,2,2
ganz,,,6,2
ganze,,,1,1
ganzer,,,1,1
gap,,,1,1
gar,,,8,2
garde,,,1,1
gardemanger,,,1,1
garden,,,1,1
garderobe,,,1,1
gardncr,,,1,1
gardner,,,1,1
garne,,,1,1
garnier,,,1,1
garten,,,4,2
gastmahl,,,1,1
gastwartend,,,1,1
gate,,,1,1
gaumen,,,2,1
ge,,,1,1
gebabelt,,,1,1
gebannt,,,1,1
gebe,,,1,1
geben,,,1,1
gebeugt,,,1,1
gebildet,,,1,1
gebildete,,,2,1
gebinden,,,1,1
gebiss,,,1,1
geboren,,,2,2
geborgen,,,1,1
geborgte,,,1,1
gebrauchte,,,1,1
gebrechen,,,1,1
gebrochen,,,1,1
gebubbelt,,,1,1
ged,,,1,1
gedacht,,,4,1
gedanke,,,2,1
gedankenschneisen,,,1,1
gedenken,,,1,1
gedenkt,,,1,1
gedicht,,,1,1
gedichte,,,2,2
gedichts,,,1,1
gedichtsammlung,,,1,1
gedieht,,,5,1
gedrückt,,,1,1
gefallen,,,1,1
gefaltet,,,1,1
gefangnis,,,1,1
gefangt,,,1,1
gefasst,,,1,1
geflogen,,,1,1
gefördert,,,1,1
gefühl,,,1,1
gefühlt,,,1,1
geführt,,,1,1
gegellt,,,1,1
gegen,,,4,2
gegenden,,,2,1
gegenherz,,,1,1
gegensatz,,,1,1
gegenteil,,,1,1
gegenworte,,,1,1
gegenüber,,,1,1
gegenüberkopf,,,1,1
gegolten,,,1,1
geh,,,8,2
gehabt,,,2,1
gehalten,,,2,1
gehauchtes,,,1,1
gehege,,,1,1
geheimen,,,1,1
geheimnis,,,2,1
geheimrat,,,1,1
gehen,,,6,2
gehender,,,1,1
gehn,,,2,1
geholfen,,,1,1
gehstock,,,1,1
geht,,,2,2
gehts,,,1,1
gehäkeltes,,,1,1
gehören,,,1,1
gehört,,,4,2
gehörten,,,1,1
gehüllt,,,1,1
geistige,,,2,1
gejagt,,,1,1
gekleidet,,,1,1
gekoppelt,,,1,1
gekreuzten,,,1,1
gelassen,,,3,2
gelb,,,1,1
gelben,,,1,1
gelblicher,,,1,1
geleerten,,,1,1
gelegen,,,1,1
gelegenheit,,,2,1
gelegte,,,1,1
gelegten,,,1,1
gelenken,,,1,1
gelerntes,,,1,1
gelesen,,,2,1
gelingen,,,1,1
gelungen,,,1,1
geläufig,,,1,1
gelüpften,,,1,1
gemacht,,,2,1
gemeinsam,,,2,1
gemeinsame,,,1,1
gemeinsamen,,,1,1
gemeint,,,3,2
gemeinwesen,,,1,1
gemoppeltes,,,1,1
genannt,,,1,1
genau,,,3,2
genaue,,,1,1
genauer,,,1,1
gene,,,4,1
general,,,1,1
generalisierung,,,1,1
generally,,,3,1
geniert,,,1,1
genug,,,4,2
genuinely,,,1,1
genuss,,,1,1
genügend,,,1,1
genügt,,,1,1
george,,,3,2
gepackt,,,1,1
gepflegt,,,1,1
gepflückten,,,1,1
gepflückter,,,1,1
geplagt,,,1,1
gepresst,,,1,1
gepäckstation,,,1,1
gequakten,,,1,1
gerecht,,,1,1
gericht,,,1,1
gering,,,1,1
german,,,2,1
germs,,,1,1
gerne,,,1,1
gerrnany,,,1,1
gertrude,,,2,1
geräusch,,,1,1
gerührt,,,1,1
gerüst,,,1,1
gerüstbauern,,,1,1
gerüstnik,,,1,1
gesagt,,,2,1
gesandt,,,1,1
gesankt,,,1,1
gesaugt,,,1,1
geschah,,,1,1
geschichten,,,3,2
geschickt,,,1,1
geschlechtswörter,,,1,1
geschmeidig,,,1,1
geschnitzte,,,1,1
geschnürt,,,1,1
geschrieben,,,4,2
geschult,,,1,1
geschäft,,,1,1
geschäfts,,,1,1
gesehen,,,3,2
gesetzt,,,2,2
gesicht,,,8,2
gesichter,,,1,1
gesichtsblindheit,,,2,1
gesichtsfeldeinengung,,,1,1
gesottnes,,,1,1
gespenster,,,1,1
gespielt,,,1,1
gespinst,,,1,1
gespräch,,,1,1
gesprächen,,,1,1
gesprächspflücking,,,1,1
gestalt,,,1,1
gestaltet,,,1,1
gestaltung,,,1,1
gestellt,,,1,1
gestern,,,1,1
gestrandet,,,1,1
gestriegelt,,,1,1
gestundete,,,1,1
gestörte,,,1,1
gesuch,,,1,1
gesunden,,,1,1
gesunken,,,1,1
get,,,1,1
geteilt,,,1,1
geteiltes,,,1,1
getragen,,,3,2
getragene,,,1,1
getraut,,,1,1
getreten,,,1,1
getroffen,,,1,1
getrunken,,,1,1
getupft,,,1,1
getupfter,,,1,1
gewachsen,,,1,1
gewebe,,,1,1
geweben,,,1,1
geweißt,,,1,1
gewichtigen,,,1,1
gewinnen,,,1,1
gewiss,,,1,1
gewissen,,,1,1
gewissheit,,,2,1
gewittert,,,1,1
gewusste,,,2,1
geysers,,,1,1
gezeitenwechsel,,,1,1
gezundheit,,,1,1
gezupftes,,,1,1
gezählt,,,1,1
geöffnet,,,1,1
gib,,,1,1
gibbet,,,1,1
gibt,,,6,2
gibts,,,2,2
gift,,,2,1
gifte,,,1,1
gilt,,,1,1
ging,,,5,1
ginger,,,1,1
girl,,,2,1
gischt,,,2,1
gisela,,,1,1
gitter,,,2,1
gitterstäbe,,,1,1
give,,,3,1
glanz,,,1,1
glattgestrichen,,,1,1
glauben,,,1,1
glaubt,,,1,1
glaubten,,,1,1
gleich,,,2,1
gleiche,,,2,2
gleichen,,,1,1
gleiches,,,1,1
gleichzeitiger,,,1,1
gleisen,,,1,1
gleiten,,,1,1
glider,,,1,1
glimm,,,1,1
glimmern,,,1,1
glint,,,1,1
glissant,,,1,1
gliönt,,,1,1
glut,,,1,1
glänzen,,,3,2
glänzender,,,1,1
gläser,,,1,1
gläsern,,,1,1
gläsernen,,,1,1
glück,,,1,1
glücksfall,,,1,1
glühende,,,2,1
go,,,5,2
goes,,,4,2
going,,,2,1
golden,,,1,1
goldenen,,,2,1
gomera,,,1,1
good,,,1,1
gossamer,,,1,1
gossip,,,1,1
gossiped,,,1,1
government,,,1,1
grabbe,,,1,1
grace,,,1,1
grad,,,1,1
gram,,,1,1
grammatik,,,1,1
grand,,,1,1
gras,,,3,2
grasen,,,1,1
grasp,,,1,1
graue,,,2,1
grauen,,,1,1
green,,,2,1
greisen,,,1,1
grenz,,,3,1
grenze,,,2,1
grenzen,,,1,1
grenzermund,,,1,1
grenzkompetenzlern,,,1,1
grenzkontrolle,,,2,1
grenzsicht,,,1,1
griechen,,,1,1
griff,,,1,1
griffel,,,1,1
grillen,,,1,1
grimm,,,1,1
grimmig,,,1,1
grimmsches,,,1,1
grinsen,,,2,1
groot,,,1,1
groß,,,2,1
großblättrigen,,,1,1
große,,,2,2
großen,,,4,2
grund,,,3,2
grunde,,,2,2
gruppe,,,1,1
größer,,,1,1
größere,,,1,1
größeren,,,1,1
größter,,,1,1
grübchen,,,1,1
grübeln,,,1,1
grün,,,2,2
gründe,,,3,1
gründen,,,1,1
gründet,,,1,1
gründlich,,,1,1
grüne,,,1,1
grünen,,,1,1
guilty,,,1,1
gums,,,1,1
gundepot,,,1,1
gurgel,,,1,1
gut,,,4,2
gute,,,4,2
guten,,,2,1
gutenberg,,,1,1
guter,,,2,1
gutes,,,1,1
gäb,,,1,1
gänge,,,1,1
gänse,,,1,1
gänsehaut,,,1,1
gänsen,,,2,1
gärtner,,,1,1
gäste,,,3,1
göttlicher,,,1,1
gültig,,,1,1
gürtelweiten,,,1,1
güte,,,1,1
h,,,21,2
haare,,,2,2
haaren,,,1,1
hab,,,6,1
habch,,,1,1
habe,,,5,2
haben,,,23,2
had,,,1,1
hafen,,,1,1
hahn,,,1,1
haifa,,,3,1
halb,,,2,1
halbe,,,2,1
half,,,1,1
halle,,,1,1
hallo,,,2,1
halluzinationen,,,1,1
hals,,,2,1
halsband,,,1,1
halstücher,,,1,1
halt,,,1,1
halte,,,2,2
halten,,,1,1
haltest,,,1,1
haltestelle,,,1,1
hand,,,13,2
handapparat,,,1,1
handarbeiten,,,1,1
handgepäck,,,1,1
handschuh,,,1,1
handschuhschnüren,,,1,1
handstand,,,1,1
hang,,,2,1
hans,,,1,1
hard,,,1,1
hare,,,1,1
harrnony,,,1,1
harry,,,1,1
hart,,,1,1
has,,,3,2
hasen,,,1,1
hast,,,1,1
hat,,,22,2
hatcs,,,1,1
hatte,,,4,2
hatten,,,10,2
hauch,,,2,2
hauchen,,,1,1
hauptbarde,,,1,1
hauptgang,,,1,1
hauptort,,,1,1
haus,,,4,2
hause,,,1,1
hausen,,,1,1
haut,,,7,2
havc,,,1,1
have,,,7,2
hawks,,,1,1
hc,,,1,1
hccomc,,,1,1
hcrvr,,,1,1
hcy,,,1,1
he,,,5,2
health,,,1,1
heart,,,2,1
heaven,,,1,1
heben,,,2,1
hebt,,,2,1
hechelzentrum,,,1,1
hecke,,,1,1
hecken,,,1,1
hedgehog,,,1,1
hef,,,1,1
heft,,,1,1
heim,,,2,2
heimat,,,1,1
heimatland,,,1,1
heimatländer,,,1,1
heimis,,,1,1
heimische,,,1,1
heimischer,,,1,1
heimkehren,,,1,1
heimlich,,,1,1
heimliche,,,2,1
heimlichem,,,1,1
heimliches,,,1,1
heimweg,,,1,1
heimweh,,,1,1
heinrich,,,1,1
heiratsscheine,,,1,1
heiß,,,2,2
heiße,,,1,1
heißen,,,1,1
heißt,,,18,2
helene,,,1,1
helfe,,,1,1
hell,,,1,1
helle,,,1,1
hellen,,,1,1
heller,,,2,2
hellnla,,,1,1
hello,,,1,1
hemd,,,1,1
her,,,11,2
heran,,,1,1
herausgegeben,,,2,2
herausgegebenen,,,1,1
herbst,,,1,1
here,,,1,1
herein,,,1,1
herfallen,,,1,1
herge,,,1,1
hergefangen,,,1,1
hergekornmen,,,1,1
hergetragen,,,1,1
herkunft,,,2,1
herkömmlichen,,,1,1
herr,,,2,1
herrschte,,,1,1
herum,,,1,1
herumkauen,,,1,1
herz,,,2,1
herzlich,,,1,1
herzogsreut,,,1,1
heu,,,1,1
heute,,,6,2
hführungszeichen,,,1,1
hielt,,,2,1
hielte,,,1,1
hielten,,,2,1
hier,,,22,2
hiergeblieben,,,1,1
hiesigen,,,1,1
hieß,,,4,1
hießen,,,1,1
hildur,,,1,1
hin,,,3,1
hinein,,,3,1
hineinfiel,,,1,1
hingekommen,,,1,1
hingucker,,,1,1
hinsichtlich,,,1,1
hinten,,,3,2
hinter,,,4,2
hintergrund,,,1,1
hinterher,,,1,1
hinterland,,,1,1
hinterlassende,,,1,1
hinterlässt,,,1,1
hinterm,,,2,2
hinweg,,,1,1
hinzu,,,1,1
hinüberschaute,,,1,1
hirn,,,1,1
his,,,1,1
hisse,,,1,1
hitchcock,,,1,1
hitze,,,1,1
hl,,,1,1
hoch,,,1,1
hochblätter,,,1,1
hochwertige,,,1,1
hoffnung,,,1,1
hohen,,,1,1
hoher,,,1,1
hol,,,1,1
hole,,,1,1
holen,,,1,1
holes,,,1,1
holpern,,,1,1
holz,,,3,2
holzklotz,,,1,1
home,,,1,1
homeland,,,2,1
honigwaben,,,1,1
hook,,,1,1
hooked,,,1,1
hoppelten,,,1,1
hoppla,,,1,1
horcht,,,1,1
horden,,,1,1
horse,,,1,1
hort,,,1,1
hotels,,,1,1
hours,,,1,1
how,,,1,1
howard,,,3,1
hren,,,1,1
hricklebrit,,,1,1
hsenset,,,1,1
ht,,,4,1
hten,,,1,1
huckelt,,,1,1
huhrende,,,1,1
hui,,,1,1
hund,,,1,1
hunde,,,2,1
hundefreund,,,1,1
hundezunge,,,2,1
hunger,,,1,1
hungerstreik,,,1,1
hungrige,,,1,1
husse,,,1,1
husten,,,2,2
huston,,,1,1
hut,,,4,2
hypnoiden,,,1,1
hypnose,,,1,1
hysterie,,,3,1
häkellichter,,,1,1
hält,,,5,2
hältst,,,1,1
hämmern,,,1,1
hände,,,3,2
händen,,,2,1
hängen,,,1,1
hängten,,,1,1
hätte,,,1,1
hätten,,,2,1
häubchen,,,1,1
häubte,,,1,1
häufig,,,1,1
häufigen,,,1,1
häuser,,,1,1
häutchen,,,1,1
häutig,,,1,1
höchstens,,,1,1
hölzern,,,1,1
höne,,,1,1
höre,,,5,2
hören,,,3,1
hört,,,1,1
hüftblassen,,,1,1
hügel,,,1,1
hülle,,,1,1
hüpfen,,,1,1
hütte,,,1,1
i,,,55,2
iben,,,1,1
iceland,,,1,1
ich,,,138,2
icht,,,2,2
ichtionary,,,1,1
ida,,,1,1
ide,,,1,1
idee,,,1,1
identischen,,,1,1
identität,,,1,1
idiots,,,1,1
idstein,,,1,1
ie,,,1,1
iere,,,1,1
if,,,1,1
igel,,,3,1
ihm,,,4,1
ihn,,,8,2
ihnen,,,2,1
ihr,,,30,2
ihre,,,20,2
ihrem,,,4,2
ihren,,,11,2
ihrer,,,7,2
ii,,,18,2
iii,,,4,2
iimisoara,,,1,1
ijrei,,,1,1
il,,,4,2
illuminate,,,1,1
ilse,,,2,1
iltr,,,1,1
ilust,,,1,1
im,,,98,2
images,,,1,1
imbecile,,,1,1
imigen,,,1,1
imitation,,,1,1
immer,,,12,2
immerhin,,,4,2
in,,,159,2
indielufthauen,,,1,1
indogermanischen,,,1,1
ineinander,,,1,1
ing,,,1,1
ingeborg,,,1,1
inhalt,,,1,1
innen,,,2,2
inneres,,,2,1
innern,,,1,1
innocent,,,1,1
inoffi,,,1,1
ins,,,12,2
insane,,,1,1
inscriptions,,,1,1
insel,,,13,2
inseldienst,,,1,1
inseln,,,2,2
inside,,,1,1
inspektor,,,2,1
inspektors,,,2,1
instance,,,2,1
instant,,,1,1
instanz,,,1,1
instead,,,1,1
interessanterweise,,,1,1
interieurs,,,1,1
into,,,4,1
invariably,,,1,1
inventar,,,1,1
io,,,1,1
iq,,,1,1
irgendwas,,,2,1
irgendwie,,,2,2
iris,,,4,1
irisierende,,,1,1
irrationale,,,1,1
irre,,,4,2
irritierend,,,1,1
irritierende,,,1,1
is,,,27,2
isbn,,,1,1
isch,,,1,1
island,,,7,1
islandpferd,,,1,1
isst,,,1,1
ist,,,85,2
istian,,,1,1
it,,,21,2
italien,,,1,1
itation,,,1,1
itland,,,1,1
itself,,,1,1
iurens,,,1,1
iv,,,2,1
ivsen,,,1,1
ize,,,1,1
j,,,10,1
ja,,,10,2
jaffa,,,3,1
jagen,,,1,1
jahre,,,5,2
jahrelang,,,2,1
jahren,,,2,1
jahres,,,1,1
jahrhundert,,,1,1
jahrzehnte,,,1,1
jakobson,,,2,1
jakobsons,,,1,1
jane,,,6,1
jauchzen,,,1,1
je,,,4,1
jede,,,7,1
jedem,,,3,2
jeden,,,3,2
jedenfalls,,,3,1
jeder,,,7,1
jedes,,,7,2
jedoch,,,1,1
jemand,,,2,2
jene,,,2,1
jetzt,,,15,2
jike,,,1,1
jodel,,,1,1
jodmangel,,,1,1
john,,,2,2
josef,,,1,1
joseph,,,1,1
jot,,,2,1
juchzer,,,1,1
juckt,,,1,1
juckte,,,2,1
juden,,,1,1
jugend,,,1,1
julklapp,,,2,1
junge,,,2,2
jungen,,,1,1
jungend,,,1,1
just,,,3,2
jüdischen,,,1,1
jüngeren,,,1,1
jüngste,,,3,1
jürgen,,,1,1
k,,,18,2
kabine,,,1,1
kaffee,,,2,1
kairo,,,2,1
kalk,,,1,1
kalt,,,4,1
kalte,,,10,1
kalter,,,1,1
kaltes,,,1,1
kam,,,6,2
kamel,,,1,1
kamen,,,3,2
kamin,,,2,1
kammer,,,1,1
kann,,,21,2
kannst,,,2,2
kannste,,,2,1
kannten,,,1,1
kanzlerin,,,1,1
kapernnest,,,1,1
kapier,,,1,1
kapitän,,,2,1
karin,,,1,1
karren,,,1,1
karrte,,,1,1
karte,,,2,2
karten,,,1,1
kartenspiel,,,1,1
kassetten,,,1,1
katas,,,1,1
kathl,,,2,1
kau,,,2,1
kauend,,,1,1
kaufhaus,,,1,1
kaum,,,10,2
ke,,,3,1
keckert,,,2,1
keep,,,1,1
keeps,,,4,1
kehle,,,1,1
keime,,,1,1
kein,,,7,2
keine,,,18,2
keinem,,,2,2
keinen,,,3,1
keiner,,,6,2
keinjota,,,1,1
keins,,,1,1
keks,,,1,1
kelle,,,1,1
keller,,,2,2
kenne,,,1,1
kennen,,,1,1
kennt,,,3,2
kern,,,2,1
kerngrammatik,,,1,1
kernnähe,,,1,1
kerze,,,1,1
kerzen,,,1,1
ki,,,1,1
kiefergarten,,,1,1
kiefern,,,2,1
kieren,,,1,1
kiesel,,,1,1
kieselrot,,,1,1
kig,,,1,1
kin,,,1,1
kind,,,15,2
kinder,,,1,1
kindermund,,,1,1
kindersprache,,,2,1
kinderwagens,,,1,1
kindes,,,1,1
kindhaben,,,1,1
kindheit,,,1,1
kindliche,,,1,1
kindlichen,,,1,1
kinn,,,1,1
kioskh,,,1,1
kissen,,,4,2
kitchen,,,1,1
kl,,,2,1
klackert,,,2,1
klafft,,,1,1
klamm,,,1,1
klamme,,,1,1
klammern,,,1,1
klamotten,,,1,1
klang,,,1,1
klappen,,,1,1
klarer,,,1,1
klassen,,,2,2
klatschende,,,1,1
klaviere,,,1,1
klebrigen,,,1,1
klebte,,,1,1
klee,,,1,1
kleid,,,1,1
kleider,,,2,1
klein,,,3,2
kleine,,,5,2
kleinen,,,8,2
kleiner,,,2,1
kleines,,,4,2
klinge,,,1,1
klingt,,,1,1
klinke,,,1,1
klobige,,,1,1
klopfen,,,1,1
klumpt,,,1,1
kläre,,,1,1
knarzenden,,,2,1
knarzigem,,,1,1
knarzte,,,1,1
knie,,,3,2
knien,,,1,1
kniffe,,,1,1
knistern,,,1,1
knoten,,,6,2
know,,,4,2
known,,,2,1
knows,,,1,1
knubbelfinger,,,1,1
knöchel,,,1,1
knöcheln,,,1,1
knöpfe,,,3,2
knöpften,,,1,1
knötgen,,,1,1
knüpfer,,,1,1
knüpffen,,,1,1
knüpft,,,1,1
kobold,,,1,1
koffer,,,3,2
kohlenziehern,,,1,1
kokolores,,,1,1
kollegen,,,1,1
kollektive,,,1,1
kolonne,,,1,1
kolonnenleiter,,,1,1
komitee,,,1,1
komm,,,1,1
kommen,,,5,1
kommendem,,,1,1
kommendes,,,2,1
kommt,,,9,2
kommunizieren,,,1,1
kompakt,,,1,1
kompass,,,1,1
komplett,,,1,1
komplott,,,1,1
kon,,,2,1
konnotation,,,1,1
konnte,,,3,2
konnten,,,1,1
konstantinopel,,,1,1
kontakt,,,1,1
kontrolle,,,1,1
konversation,,,1,1
konversion,,,1,1
konzept,,,2,1
kookbooks,,,3,2
kookone,,,1,1
kooky,,,1,1
kopf,,,11,2
kopflose,,,1,1
kopfsteinpflaster,,,1,1
kopftuch,,,2,1
kopier,,,1,1
koppelbrüder,,,1,1
koppelzwilling,,,3,1
koppelzwillings,,,1,1
korn,,,1,1
kost,,,1,1
kostüm,,,1,1
kran,,,1,1
kranke,,,1,1
kranken,,,1,1
krankenbericht,,,1,1
krankheit,,,2,2
kraut,,,1,1
kreide,,,3,2
kreidebleiche,,,1,1
kreis,,,1,1
kreisrunden,,,1,1
kreisstadt,,,1,1
kreiste,,,2,1
krempe,,,1,1
kreshopel,,,1,1
kress,,,1,1
kressekästchen,,,1,1
kreuze,,,1,1
kreuzung,,,2,1
kreuzzehn,,,1,1
krieg,,,1,1
kriegen,,,1,1
kristallin,,,1,1
kriterien,,,1,1
krume,,,1,1
krumen,,,1,1
krummen,,,2,2
krustig,,,1,1
kräftigen,,,1,1
krägen,,,1,1
krähen,,,1,1
kräht,,,1,1
kräne,,,1,1
kröpfchen,,,1,1
krümmen,,,1,1
kugelköpfe,,,1,1
kugeln,,,1,1
kugelsturm,,,1,1
kuhle,,,1,1
kulturverwaltung,,,1,1
kummersieb,,,1,1
kunst,,,2,1
kuppe,,,1,1
kur,,,1,1
kurt,,,3,1
kurz,,,2,1
kurze,,,1,1
kurzem,,,1,1
kurzen,,,1,1
kuss,,,2,1
käm,,,1,1
käme,,,1,1
könig,,,2,1
königin,,,1,1
königs,,,1,1
können,,,3,2
könnt,,,1,1
könnte,,,3,2
könnten,,,1,1
könntens,,,1,1
köpfchen,,,1,1
köpfe,,,1,1
körbe,,,2,1
körnchen,,,1,1
körner,,,1,1
körper,,,7,2
körperatem,,,1,1
küche,,,7,1
küchen,,,2,2
kühl,,,1,1
kühler,,,1,1
kühner,,,1,1
kühneres,,,1,1
künste,,,1,1
künsten,,,1,1
küssen,,,2,1
küsten,,,1,1
küstendüne,,,1,1
küstenwärter,,,1,1
l,,,54,2
la,,,1,1
labil,,,1,1
lace,,,4,1
lack,,,3,2
lacking,,,1,1
lady,,,1,1
lag,,,2,2
lage,,,3,1
lagen,,,4,2
lahm,,,2,1
lallen,,,1,1
lallphase,,,1,1
lameness,,,1,1
lament,,,1,1
lampen,,,1,1
lana,,,2,1
land,,,5,2
landarten,,,1,1
landen,,,1,1
landes,,,1,1
landgewinn,,,1,1
landstrich,,,1,1
lang,,,4,2
lange,,,11,2
langen,,,1,1
langer,,,1,1
langhin,,,1,1
language,,,1,1
lanzettlicher,,,1,1
lappen,,,1,1
lassen,,,8,2
last,,,1,1
lasten,,,2,1
laster,,,1,1
lateinisch,,,1,1
laterne,,,1,1
lauf,,,2,1
laufen,,,1,1
laura,,,2,1
lauren,,,1,1
laurens,,,1,1
lauschen,,,2,2
lauschte,,,1,1
laut,,,2,2
lautackerchen,,,1,1
lautbau,,,1,1
lautbauen,,,1,1
lautbestandes,,,1,1
laute,,,3,1
lauten,,,1,1
lauter,,,4,2
lauteres,,,1,1
lautet,,,2,1
lautete,,,1,1
lautgesetze,,,1,1
lautkette,,,1,1
lautlichen,,,1,1
lautwechsel,,,1,1
lcchte,,,1,1
lcr,,,1,1
ld,,,2,2
least,,,1,1
leave,,,1,1
leben,,,4,1
lebendig,,,1,1
lebensbedingungen,,,1,1
lebensmittelpunkt,,,1,1
lebenszweck,,,1,1
lebte,,,1,1
leer,,,3,2
leere,,,3,1
left,,,1,1
lege,,,1,1
legen,,,5,2
legende,,,1,1
legt,,,1,1
legte,,,1,1
lehnsessels,,,1,1
lehre,,,1,1
lei,,,1,1
leib,,,3,1
leicht,,,7,2
leichtere,,,1,1
leichtes,,,1,1
leichtfuß,,,1,1
leid,,,1,1
leiden,,,2,1
lein,,,1,1
leinen,,,2,2
leinwand,,,1,1
leise,,,2,1
leiser,,,1,1
leiseren,,,1,1
leisten,,,1,1
leit,,,1,1
lektüre,,,1,1
lemberg,,,1,1
lengevitch,,,7,1
lerne,,,1,1
lernen,,,1,1
lerrine,,,1,1
lesamt,,,1,1
lesen,,,3,1
leserschaft,,,1,1
lets,,,1,1
letter,,,2,1
letzte,,,3,1
letztem,,,1,1
letzten,,,1,1
letzter,,,2,1
leuchten,,,5,2
leuchtend,,,1,1
leuchtende,,,2,1
leuchtet,,,3,2
leumund,,,1,1
leute,,,4,2
lewis,,,1,1
lexik,,,2,1
lf,,,1,1
lfe,,,1,1
li,,,5,1
liberty,,,1,1
lice,,,1,1
licht,,,9,2
lichtwerk,,,1,1
lid,,,3,2
lider,,,1,1
liebe,,,6,2
lieber,,,5,2
liebes,,,3,1
liebesdingen,,,1,1
liebkosten,,,1,1
lieblingsjaks,,,1,1
lieblingsnaks,,,1,1
liebsten,,,1,1
lied,,,3,1
lieder,,,2,2
liefen,,,1,1
